KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,0.0,-0.10526315789473684,-0.21052631578947367,-0.21052631578947367,-1.631578947368421
0.0,0.0,-0.1111111111111111,-0.2222222222222222,-0.1111111111111111,0.0,-0.1111111111111111,-0.2222222222222222,-1.3888888888888888
0.0,0.0,-0.3181818181818182,-0.22727272727272727,0.0,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,-1.5454545454545454
0.0,0.0,0.0,-0.22727272727272727,-0.13636363636363635,-0.22727272727272727,0.0,-0.2727272727272727,-0.7272727272727273
0.0,-0.15,0.0,-0.8,-0.05,-0.15,-0.8,-0.05,-1.3
-0.0625,0.0,-0.125,0.0,0.0,-0.0625,-0.125,-0.9375,-0.1875
0.0,0.0,0.0,-0.20689655172413793,-0.20689655172413793,0.0,0.0,-0.20689655172413793,-0.6206896551724138
-0.05555555555555555,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.7222222222222222,0.0,-1.7777777777777777
0.0,0.0,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,0.0,0.0,-0.21052631578947367,-1.736842105263158
0.0,0.0,-0.05,-0.2,-0.05,-0.4,-0.15,-0.25,-0.65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4230769230769231
0.0,0.0,-0.65,-0.7,-0.45,0.0,-0.7,-0.65,-1.45
0.0,0.0,0.0,-0.06666666666666667,-0.06666666666666667,0.0,-0.4,-0.3333333333333333,-1.6666666666666667
0.0,-0.08695652173913043,-0.13043478260869565,-0.13043478260869565,-0.08695652173913043,0.0,-0.13043478260869565,-0.13043478260869565,-0.6086956521739131
0.0,-0.0625,-0.1875,-0.25,0.0,0.0,-0.25,-0.21875,-1.5
0.0,0.0,-0.17647058823529413,-0.17647058823529413,-0.058823529411764705,-0.17647058823529413,0.0,0.0,-1.1764705882352942
0.0,0.0,0.0,-0.32142857142857145,-0.03571428571428571,-0.25,-0.07142857142857142,-0.10714285714285714,-0.7142857142857143
0.0,-0.15,-0.15,-0.15,0.0,-0.6,-0.25,-0.15,-1.5
-0.023255813953488372,-0.023255813953488372,0.0,-0.09302325581395349,-0.09302325581395349,-0.27906976744186046,-0.023255813953488372,-0.09302325581395349,-0.023255813953488372
0.0,0.0,0.0,-0.047619047619047616,0.0,-0.047619047619047616,-0.38095238095238093,0.0,-1.1428571428571428
0.0,0.0,0.0,-0.125,0.0,0.0,0.0,-0.125,-0.6666666666666666
0.0,-0.2222222222222222,0.0,-0.5555555555555556,0.0,-0.05555555555555555,-0.05555555555555555,-0.3888888888888889,-1.5555555555555556
0.0,0.0,0.0,-0.42105263157894735,-0.10526315789473684,0.0,-0.10526315789473684,-0.10526315789473684,-0.8421052631578947
