KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,-0.5,0.0,-0.5,0.0,-0.6428571428571429,0.0,-0.5,-1.2857142857142858
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6111111111111112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
0.0,0.0,-0.15,-0.15,0.0,-0.15,-0.15,-0.15,-0.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6363636363636364
0.0,-0.5833333333333334,-0.5833333333333334,-0.5833333333333334,0.0,-0.5833333333333334,-0.5833333333333334,-0.5833333333333334,-0.8333333333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4642857142857143
0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.1
0.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-1.4285714285714286
0.0,0.0,-0.058823529411764705,-0.058823529411764705,-0.058823529411764705,-0.058823529411764705,-0.058823529411764705,-0.058823529411764705,-0.5882352941176471
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9285714285714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3125
0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.5,-0.6666666666666666
0.0,-0.125,0.0,0.0,0.0,0.0,-0.041666666666666664,0.0,-0.25
0.0,0.0,0.0,0.0,0.0,-0.26666666666666666,0.0,0.0,-0.26666666666666666
0.0,0.0,-0.48148148148148145,-0.2222222222222222,0.0,-0.2222222222222222,-0.2222222222222222,-0.48148148148148145,-0.2222222222222222
0.0,0.0,-0.47368421052631576,-0.47368421052631576,0.0,0.0,0.0,-0.47368421052631576,-0.5263157894736842
0.0,0.0,-0.7058823529411765,0.0,0.0,-0.4117647058823529,-0.7058823529411765,0.0,0.0
0.0,0.0,0.0,-0.23809523809523808,0.0,-0.23809523809523808,0.0,0.0,-0.5238095238095238
0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,-0.45
0.0,-0.038461538461538464,-0.038461538461538464,-0.038461538461538464,0.0,-0.038461538461538464,-0.038461538461538464,-0.038461538461538464,-0.6923076923076923
0.0,0.0,-0.21052631578947367,-0.21052631578947367,-0.10526315789473684,0.0,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571428571428571
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,-0.1,-0.1,-0.05,-0.05,-0.1,-0.1,-0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4705882352941178
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7419354838709677
0.0,-0.16666666666666666,-0.2222222222222222,-0.4444444444444444,-0.1111111111111111,-0.3888888888888889,-0.2222222222222222,-0.4444444444444444,-0.5555555555555556
0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0
0.0,-0.14285714285714285,0.0,-0.14285714285714285,0.0,0.0,0.0,-0.14285714285714285,-0.5714285714285714
0.0,-0.2,-0.6,-0.6,-0.6,-0.2,-0.6,-0.6,-0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8181818181818182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7222222222222222
0.0,-0.07142857142857142,-0.2857142857142857,-0.07142857142857142,0.0,0.0,-0.2857142857142857,-0.07142857142857142,-0.9285714285714286
0.0,-0.16216216216216217,-0.16216216216216217,-0.16216216216216217,0.0,-0.16216216216216217,-0.16216216216216217,-0.16216216216216217,-0.4594594594594595
0.0,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.4
0.0,-0.16666666666666666,0.0,0.0,0.0,-0.2777777777777778,0.0,0.0,-0.16666666666666666
0.0,0.0,-0.6666666666666666,-0.25,0.0,-0.4166666666666667,-0.6666666666666666,-0.25,-0.4166666666666667
0.0,-0.08695652173913043,0.0,0.0,0.0,-0.08695652173913043,-0.08695652173913043,0.0,-0.08695652173913043
0.0,0.0,-0.23333333333333334,-0.23333333333333334,-0.16666666666666666,-0.13333333333333333,-0.3333333333333333,-0.23333333333333334,-0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
0.0,0.0,-0.19047619047619047,-0.09523809523809523,0.0,0.0,0.0,-0.09523809523809523,-0.047619047619047616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9375
0.0,-0.3076923076923077,-0.46153846153846156,-0.46153846153846156,-0.23076923076923078,-0.15384615384615385,-0.46153846153846156,-0.46153846153846156,-0.3076923076923077
0.0,0.0,-0.13333333333333333,-0.13333333333333333,0.0,0.0,-0.13333333333333333,-0.13333333333333333,-0.6
0.0,-0.16666666666666666,0.0,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,-0.9444444444444444
0.0,-0.17647058823529413,0.0,-0.17647058823529413,-0.17647058823529413,0.0,-0.17647058823529413,0.0,-0.6470588235294118
0.0,0.0,-0.20588235294117646,-0.058823529411764705,0.0,-0.058823529411764705,0.0,-0.20588235294117646,-0.38235294117647056
0.0,0.0,-0.4444444444444444,-0.4444444444444444,0.0,-0.05555555555555555,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444
0.0,0.0,-0.4090909090909091,-0.4090909090909091,0.0,0.0,-0.4090909090909091,-0.4090909090909091,-0.9090909090909091
0.0,-0.391304347826087,-0.5652173913043478,-0.5652173913043478,0.0,-0.21739130434782608,-0.5652173913043478,-0.5652173913043478,-1.173913043478261
0.0,0.0,-0.13333333333333333,-0.13333333333333333,0.0,0.0,-0.13333333333333333,-0.13333333333333333,-0.4666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5909090909090909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.08,0.0,-0.08,0.0,-0.04,0.0,-0.08,-0.56
0.0,0.0,-0.3888888888888889,-0.4444444444444444,0.0,0.0,-0.3888888888888889,-0.4444444444444444,-0.4444444444444444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3076923076923077
0.0,0.0,-0.047619047619047616,-0.047619047619047616,-0.047619047619047616,0.0,-0.047619047619047616,-0.047619047619047616,-0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1333333333333333
0.0,-0.1875,-0.25,-0.25,0.0,0.0,-0.25,-0.25,-0.375
0.0,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,-0.041666666666666664,-0.08333333333333333,-0.041666666666666664,-0.08333333333333333,-0.16666666666666666
0.0,0.0,0.0,-0.26666666666666666,0.0,-0.26666666666666666,0.0,0.0,-1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.411764705882353
0.0,0.0,-0.15789473684210525,-0.15789473684210525,-0.15789473684210525,-0.05263157894736842,-0.15789473684210525,-0.15789473684210525,-0.21052631578947367
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,-0.2
0.0,0.0,-0.3684210526315789,0.0,0.0,-0.2631578947368421,-0.3684210526315789,0.0,-0.3157894736842105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.3,-0.3,0.0,-0.3,-0.3,-0.3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
0.0,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.0,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,-0.7272727272727273
0.0,0.0,-0.1875,-0.25,-0.1875,0.0,0.0,-0.25,-0.3125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666
0.0,0.0,-0.08695652173913043,-0.08695652173913043,0.0,0.0,0.0,-0.08695652173913043,-0.34782608695652173
0.0,-0.29411764705882354,-0.11764705882352941,-0.29411764705882354,0.0,0.0,-0.11764705882352941,-0.29411764705882354,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375
0.0,-0.2,-0.4,-0.4,0.0,-0.25,-0.4,-0.4,-0.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1666666666666667
0.0,-0.1111111111111111,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,-0.16666666666666666,-0.5
0.0,0.0,-0.4782608695652174,-0.4782608695652174,-0.21739130434782608,0.0,-0.4782608695652174,-0.4782608695652174,-0.6086956521739131
0.0,-0.07407407407407407,-0.07407407407407407,-0.07407407407407407,0.0,0.0,-0.07407407407407407,-0.07407407407407407,-0.07407407407407407
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.272727272727273
0.0,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.5333333333333333,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
0.0,-0.25,-0.25,-0.25,0.0,0.0,-0.25,-0.25,-0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2682926829268293
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4827586206896552
0.0,0.0,-0.18518518518518517,-0.18518518518518517,0.0,0.0,0.0,-0.18518518518518517,-0.6296296296296297
-0.043478260869565216,0.0,-0.2608695652173913,0.0,0.0,-0.043478260869565216,-0.2608695652173913,0.0,-0.13043478260869565
0.0,0.0,-0.46153846153846156,-0.46153846153846156,0.0,0.0,0.0,-0.46153846153846156,-0.8461538461538461
-0.09523809523809523,-0.09523809523809523,-0.09523809523809523,0.0,0.0,-0.23809523809523808,-0.23809523809523808,0.0,-0.23809523809523808
0.0,-0.25,-0.25,-0.25,-0.25,0.0,-0.25,-0.25,-0.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
