KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,0.0,-0.4482758620689655,-0.034482758620689655,-0.3793103448275862,-0.4482758620689655,-0.5517241379310345
0.0,0.0,0.0,0.0,0.0,-0.3125,-0.1875,-1.1875
0.0,0.0,0.0,-0.2,-0.2,0.0,-0.2,-1.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24
0.0,-0.125,-0.16666666666666666,-0.375,-0.2916666666666667,-0.375,-0.375,-1.25
0.0,0.0,0.0,-0.7647058823529411,0.0,-0.5294117647058824,-0.5882352941176471,-0.4117647058823529
0.0,0.0,-0.25,-0.3,0.0,-0.3,-0.3,-2.35
0.0,0.0,0.0,-0.9473684210526315,0.0,0.0,-0.5263157894736842,-1.6842105263157894
0.0,0.0,0.0,-0.35714285714285715,0.0,-0.6428571428571429,0.0,-2.9285714285714284
0.0,0.0,-0.25,-0.6,0.0,-0.85,-0.55,-1.45
0.0,-0.16666666666666666,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.8666666666666667
0.0,-0.09090909090909091,-0.13636363636363635,-0.45454545454545453,-0.13636363636363635,-0.45454545454545453,-0.45454545454545453,-0.9545454545454546
0.0,0.0,-0.2608695652173913,-0.4782608695652174,-0.17391304347826086,-0.2608695652173913,-0.2608695652173913,-0.782608695652174
0.0,0.0,0.0,-0.07692307692307693,0.0,-0.07692307692307693,-0.07692307692307693,-1.1923076923076923
0.0,0.0,0.0,-0.2,0.0,-0.35,-0.35,-1.3
0.0,-0.05,-0.35,-0.4,-0.05,-0.4,-0.4,-0.75
0.0,0.0,0.0,-0.045454545454545456,-0.22727272727272727,-0.22727272727272727,-0.045454545454545456,-1.4545454545454546
0.0,0.0,0.0,-0.7916666666666666,-0.4166666666666667,-0.4166666666666667,-0.25,-1.2083333333333333
0.0,0.0,0.0,0.0,0.0,0.0,-0.13636363636363635,-0.7272727272727273
0.0,0.0,0.0,-0.5789473684210527,-0.05263157894736842,-0.5263157894736842,-0.42105263157894735,-1.4210526315789473
0.0,0.0,0.0,0.0,0.0,-0.21739130434782608,-0.5652173913043478,-1.3043478260869565
0.0,-0.1111111111111111,-0.1111111111111111,-0.16666666666666666,-0.1111111111111111,-0.1111111111111111,-0.16666666666666666,-1.7777777777777777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4705882352941178
0.0,0.0,-0.5,-0.35714285714285715,-0.5,-0.35714285714285715,-0.5714285714285714,-2.2142857142857144
-0.10526315789473684,0.0,0.0,0.0,-0.6842105263157895,-0.8947368421052632,-0.15789473684210525,-1.368421052631579
0.0,0.0,-0.09523809523809523,-0.09523809523809523,0.0,-0.09523809523809523,-0.09523809523809523,-0.8571428571428571
0.0,0.0,0.0,-0.10526315789473684,0.0,-0.10526315789473684,-0.10526315789473684,-1.1578947368421053
0.0,0.0,-0.038461538461538464,-0.2692307692307692,-0.038461538461538464,-0.2692307692307692,-0.2692307692307692,-1.1923076923076923
0.0,0.0,0.0,-0.041666666666666664,-0.041666666666666664,-0.041666666666666664,-0.041666666666666664,-1.0833333333333333
0.0,0.0,0.0,-0.5294117647058824,-0.5294117647058824,0.0,0.0,-1.411764705882353
0.0,0.0,0.0,-0.36,0.0,-0.76,-0.36,-0.88
0.0,-0.125,-0.125,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.375
0.0,0.0,-0.10810810810810811,-0.10810810810810811,0.0,-0.02702702702702703,-0.10810810810810811,-0.3783783783783784
0.0,-0.02702702702702703,-0.02702702702702703,-0.10810810810810811,-0.05405405405405406,-0.32432432432432434,-0.10810810810810811,-0.3783783783783784
0.0,0.0,-0.20689655172413793,-0.27586206896551724,-0.1724137931034483,-0.27586206896551724,-0.27586206896551724,-0.4827586206896552
0.0,0.0,-0.125,-0.625,-0.125,-0.125,-0.25,-0.3333333333333333
0.0,0.0,0.0,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,-0.18181818181818182
0.0,0.0,0.0,-0.04,-0.08,0.0,0.0,-2.2
0.0,-0.15789473684210525,0.0,-0.2631578947368421,-0.15789473684210525,-0.2631578947368421,0.0,-1.105263157894737
0.0,-0.15,-0.25,-0.45,-0.2,-0.8,-0.5,-0.55
0.0,0.0,0.0,-0.09090909090909091,-0.09090909090909091,-0.45454545454545453,-0.45454545454545453,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5454545454545454
0.0,0.0,-0.05555555555555555,-0.2222222222222222,0.0,-0.1111111111111111,-0.4444444444444444,-0.8888888888888888
0.0,-0.07407407407407407,0.0,-0.037037037037037035,-0.07407407407407407,-0.2962962962962963,-0.48148148148148145,-0.9629629629629629
0.0,0.0,-0.16666666666666666,-0.7222222222222222,0.0,0.0,-0.16666666666666666,-0.6111111111111112
0.0,0.0,0.0,-1.0,0.0,-0.8571428571428571,-0.7857142857142857,-2.2857142857142856
0.0,-0.04,-0.04,-0.44,0.0,-0.44,-0.44,-0.4
0.0,-0.12,-0.04,-0.68,-0.16,-0.2,-0.08,-1.04
